rank,flag,name,previous_rank,points,previous_points,confederation
1.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ESP,Spain,1.0,1877.18,1877.18,UEFA
2.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ARG,Argentina,2.0,1873.33,1873.33,CONMEBOL
3.0,https://api.fifa.com/api/v3/picture/flags-sq-2/FRA,France,3.0,1870.0,1870.0,UEFA
4.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ENG,England,4.0,1834.12,1834.12,UEFA
5.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BRA,Brazil,5.0,1760.46,1760.46,CONMEBOL
6.0,https://api.fifa.com/api/v3/picture/flags-sq-2/POR,Portugal,6.0,1760.38,1760.38,UEFA
7.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NED,Netherlands,7.0,1756.27,1756.27,UEFA
8.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MAR,Morocco,11.0,1736.57,1716.34,CAF
9.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BEL,Belgium,8.0,1730.71,1730.71,UEFA
10.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GER,Germany,9.0,1724.15,1724.15,UEFA
11.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CRO,Croatia,10.0,1716.88,1716.88,UEFA
12.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SEN,Senegal,19.0,1706.83,1648.07,CAF
13.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ITA,Italy,12.0,1702.06,1702.06,UEFA
14.0,https://api.fifa.com/api/v3/picture/flags-sq-2/COL,Colombia,13.0,1701.3,1701.3,CONMEBOL
15.0,https://api.fifa.com/api/v3/picture/flags-sq-2/USA,USA,14.0,1681.88,1681.88,CONCACAF
16.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MEX,Mexico,15.0,1675.75,1675.75,CONCACAF
17.0,https://api.fifa.com/api/v3/picture/flags-sq-2/URU,Uruguay,16.0,1672.62,1672.62,CONMEBOL
18.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SUI,Switzerland,17.0,1654.69,1654.69,UEFA
19.0,https://api.fifa.com/api/v3/picture/flags-sq-2/JPN,Japan,18.0,1650.12,1650.12,AFC
20.0,https://api.fifa.com/api/v3/picture/flags-sq-2/IRN,IR Iran,20.0,1617.02,1617.02,AFC
21.0,https://api.fifa.com/api/v3/picture/flags-sq-2/DEN,Denmark,21.0,1616.75,1616.75,UEFA
22.0,https://api.fifa.com/api/v3/picture/flags-sq-2/KOR,Korea Republic,22.0,1599.45,1599.45,AFC
23.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ECU,Ecuador,23.0,1591.73,1591.73,CONMEBOL
24.0,https://api.fifa.com/api/v3/picture/flags-sq-2/AUT,Austria,24.0,1585.51,1585.51,UEFA
25.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TUR,Türkiye,25.0,1582.69,1582.69,UEFA
26.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NGA,Nigeria,38.0,1581.55,1502.46,CAF
27.0,https://api.fifa.com/api/v3/picture/flags-sq-2/AUS,Australia,26.0,1574.01,1574.01,AFC
28.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ALG,Algeria,34.0,1560.91,1517.68,CAF
29.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CAN,Canada,27.0,1559.15,1559.15,CONCACAF
30.0,https://api.fifa.com/api/v3/picture/flags-sq-2/UKR,Ukraine,28.0,1557.47,1557.47,UEFA
31.0,https://api.fifa.com/api/v3/picture/flags-sq-2/EGY,Egypt,35.0,1556.71,1515.18,CAF
32.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NOR,Norway,29.0,1553.14,1553.14,UEFA
33.0,https://api.fifa.com/api/v3/picture/flags-sq-2/PAN,Panama,30.0,1539.47,1540.43,CONCACAF
34.0,https://api.fifa.com/api/v3/picture/flags-sq-2/POL,Poland,31.0,1532.04,1532.04,UEFA
35.0,https://api.fifa.com/api/v3/picture/flags-sq-2/WAL,Wales,32.0,1529.71,1529.71,UEFA
36.0,https://api.fifa.com/api/v3/picture/flags-sq-2/RUS,Russia,33.0,1524.52,1524.52,UEFA
37.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CIV,Côte d'Ivoire,42.0,1522.48,1489.59,CAF
38.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SCO,Scotland,36.0,1506.77,1506.77,UEFA
39.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SRB,Serbia,37.0,1506.34,1506.34,UEFA
40.0,https://api.fifa.com/api/v3/picture/flags-sq-2/PAR,Paraguay,39.0,1501.5,1501.5,CONMEBOL
